Fecha,Incremento Muertos,Muertos,Muertos / millón,Incremento Confirmados,Confirmados,Confirmados / 100.000 - 14 días
30/03/2022,222,102.541,"2.166,66",19.486,11.551.574,40503
28/03/2022,9,102.319,"2.161,97",6.601,11.532.088,44653
27/03/2022,12,102.31,"2.161,78",4.853,11.525.487,47578
26/03/2022,15,102.298,"2.161,53",6.813,11.520.634,48426
25/03/2022,21,102.283,"2.161,21",15.327,11.513.821,48946
24/03/2022,29,102.262,"2.160,77",17.195,11.498.494,49242
23/03/2022,24,102.233,"2.160,16",21.105,11.481.299,49276
22/03/2022,27,102.209,"2.159,65",22.896,11.460.194,48695
21/03/2022,30,102.182,"2.159,08",22.826,11.437.298,47800
20/03/2022,31,102.152,"2.158,44",9.137,11.414.472,47035
19/03/2022,45,102.121,"2.157,79",9.288,11.405.335,46882
18/03/2022,23,102.076,"2.156,84",18.286,11.396.047,46973
17/03/2022,38,102.053,"2.156,35",17.874,11.377.761,46962
16/03/2022,49,102.015,"2.155,55",19.665,11.359.887,47301
15/03/2022,55,101.966,"2.154,51",19.464,11.340.222,47410
14/03/2022,47,101.911,"2.153,35",20.44,11.320.758,46818
13/03/2022,42,101.864,"2.152,36",8.868,11.300.318,46087
12/03/2022,53,101.822,"2.151,47",9.273,11.291.450,45798
11/03/2022,61,101.769,"2.150,35",16.729,11.282.177,45687
10/03/2022,69,101.708,"2.149,06",17.355,11.265.448,45585
09/03/2022,61,101.639,"2.147,60",18.354,11.248.093,45737
08/03/2022,68,101.578,"2.146,32",18.663,11.229.739,46257
07/03/2022,56,101.51,"2.144,88",19.203,11.211.076,46934
06/03/2022,67,101.454,"2.143,70",8.415,11.191.873,47855
05/03/2022,55,101.387,"2.142,28",9.72,11.183.458,48189
04/03/2022,68,101.332,"2.141,12",18.232,11.173.738,48553
03/03/2022,81,101.264,"2.139,68",19.48,11.155.506,49448
02/03/2022,60,101.183,"2.137,97",20.18,11.136.026,50412
01/03/2022,76,101.123,"2.136,70",16.664,11.115.846,51830
28/02/2022,94,101.047,"2.135,10",16.98,11.099.182,54606
27/02/2022,61,100.953,"2.133,11",7.501,11.082.202,57882
26/02/2022,73,100.892,"2.131,82",8.747,11.074.701,59307
25/02/2022,86,100.819,"2.130,28",16.243,11.065.954,60944
24/02/2022,87,100.733,"2.128,46",18.074,11.049.711,64437
23/02/2022,96,100.646,"2.126,62",20.819,11.031.637,68482
22/02/2022,117,100.55,"2.124,59",21.866,11.010.818,73107
